sep=,
ts,kind,phase,event_type,role,text,detail,duration_ms
2026-05-27 12:52:31,event,,scenario_meta,,,,
2026-05-27 12:52:47,event,setup,phase_start,,,,
2026-05-27 12:52:47,event,setup,scenario_start,,,on_robot=True,
2026-05-27 12:52:49,event,await_person,phase_start,,,,
2026-05-27 12:53:04,event,await_person,person_detected,,,,
2026-05-27 12:53:04,event,greeting,phase_start,,,,
2026-05-27 12:53:20,event,greeting,touch_wait_start,,,,
2026-05-27 12:53:24,event,greeting,tablet_heard,,,play,3569
2026-05-27 12:53:24,event,greeting,classified,,,result=yes,
2026-05-27 12:53:24,event,rules,phase_start,,,,
2026-05-27 12:53:24,dialog,greeting,,tablet_touch,play,,
2026-05-27 12:53:48,event,rules,touch_wait_start,,,,
2026-05-27 12:53:53,event,rules,tablet_heard,,,explain,4980
2026-05-27 12:53:53,event,rules,classified,,,result=repeat,
2026-05-27 12:53:53,dialog,rules,,tablet_touch,explain,,
2026-05-27 12:54:17,event,rules,touch_wait_start,,,,
2026-05-27 12:54:19,event,rules,tablet_heard,,,ready,1916
2026-05-27 12:54:19,event,rules,classified,,,result=ready,
2026-05-27 12:54:19,event,level_select,phase_start,,,,
2026-05-27 12:54:19,dialog,rules,,tablet_touch,ready,,
2026-05-27 12:54:24,event,level_select,level_confirmed,,,name=Junior,
2026-05-27 12:54:24,event,setup_board,phase_start,,,,
2026-05-27 12:54:38,event,setup_board,touch_wait_start,,,,
2026-05-27 12:54:50,event,setup_board,tablet_heard,,,done,12298
2026-05-27 12:54:50,event,setup_board,classified,,,result=done,
2026-05-27 12:54:50,dialog,setup_board,,tablet_touch,done,,
2026-05-27 12:54:52,event,solving,phase_start,,,,
2026-05-27 12:55:10,event,solving,touch_wait_start,,,,
2026-05-27 12:56:02,event,solving,tablet_heard,,,hint,51790
2026-05-27 12:56:02,event,solving,hint_request,,,,
2026-05-27 12:56:02,event,solving,hint_given,,,index=0,
2026-05-27 12:56:02,dialog,solving,,tablet_touch,hint,,
2026-05-27 12:56:08,event,solving,touch_wait_start,,,,
2026-05-27 12:56:19,event,solving,tablet_heard,,,hint,11280
2026-05-27 12:56:19,event,solving,hint_request,,,,
2026-05-27 12:56:19,event,solving,hint_given,,,index=1,
2026-05-27 12:56:19,dialog,solving,,tablet_touch,hint,,
2026-05-27 12:56:24,event,solving,touch_wait_start,,,,
2026-05-27 12:56:39,event,solving,tablet_heard,,,finished,14832
2026-05-27 12:56:39,event,solving,user_finished,,,hints_used=2,
2026-05-27 12:56:39,dialog,solving,,tablet_touch,finished,,
2026-05-27 12:56:40,event,solution_check,phase_start,,,,
2026-05-27 12:56:47,event,solution_check,touch_wait_start,,,,
2026-05-27 12:56:50,event,solution_check,tablet_heard,,,yes,2538
2026-05-27 12:56:50,event,solution_check,classified,,,result=match,
2026-05-27 12:56:50,event,solution_check,solution_compared,,,matched=True,
2026-05-27 12:56:50,event,celebrate,phase_start,,,,
2026-05-27 12:56:50,event,celebrate,outcome,,,same,
2026-05-27 12:56:50,dialog,solution_check,,tablet_touch,yes,,
2026-05-27 12:56:56,event,end,phase_start,,,,
2026-05-27 12:57:04,event,end,scenario_end,,,,
