sep=,
ts,kind,phase,event_type,role,text,detail,duration_ms
2026-05-26 14:46:41,event,,scenario_meta,,,,
2026-05-26 14:46:58,event,setup,phase_start,,,,
2026-05-26 14:46:58,event,setup,scenario_start,,,on_robot=True,
2026-05-26 14:47:00,event,await_person,phase_start,,,,
2026-05-26 14:47:13,event,await_person,person_detected,,,,
2026-05-26 14:47:14,event,greeting,phase_start,,,,
2026-05-26 14:47:31,event,greeting,touch_wait_start,,,,
2026-05-26 14:47:34,event,greeting,tablet_heard,,,play,2608
2026-05-26 14:47:34,event,greeting,classified,,,result=yes,
2026-05-26 14:47:34,event,rules,phase_start,,,,
2026-05-26 14:47:34,dialog,greeting,,tablet_touch,play,,
2026-05-26 14:48:00,event,rules,touch_wait_start,,,,
2026-05-26 14:48:02,event,rules,tablet_heard,,,ready,2469
2026-05-26 14:48:02,event,rules,classified,,,result=ready,
2026-05-26 14:48:02,event,level_select,phase_start,,,,
2026-05-26 14:48:02,dialog,rules,,tablet_touch,ready,,
2026-05-26 14:48:07,event,level_select,level_confirmed,,,name=Junior,
2026-05-26 14:48:07,event,setup_board,phase_start,,,,
2026-05-26 14:48:21,event,setup_board,touch_wait_start,,,,
2026-05-26 14:49:18,event,setup_board,tablet_heard,,,done,56220
2026-05-26 14:49:18,event,setup_board,classified,,,result=done,
2026-05-26 14:49:18,dialog,setup_board,,tablet_touch,done,,
2026-05-26 14:49:20,event,solving,phase_start,,,,
2026-05-26 14:49:40,event,solving,touch_wait_start,,,,
2026-05-26 14:50:33,event,solving,tablet_heard,,,hint,53192
2026-05-26 14:50:33,event,solving,hint_request,,,,
2026-05-26 14:50:33,event,solving,hint_given,,,index=0,
2026-05-26 14:50:33,dialog,solving,,tablet_touch,hint,,
2026-05-26 14:50:40,event,solving,touch_wait_start,,,,
2026-05-26 14:50:55,event,solving,tablet_heard,,,hint,14355
2026-05-26 14:50:55,event,solving,hint_request,,,,
2026-05-26 14:50:55,event,solving,hint_given,,,index=1,
2026-05-26 14:50:55,dialog,solving,,tablet_touch,hint,,
2026-05-26 14:51:03,event,solving,touch_wait_start,,,,
2026-05-26 14:51:40,event,solving,tablet_heard,,,hint,37078
2026-05-26 14:51:40,event,solving,hint_request,,,,
2026-05-26 14:51:40,event,solving,hint_exhausted,,,index=2,
2026-05-26 14:51:40,dialog,solving,,tablet_touch,hint,,
2026-05-26 14:51:46,event,solving,touch_wait_start,,,,
2026-05-26 14:52:30,event,solving,tablet_heard,,,finished,43501
2026-05-26 14:52:30,event,solving,user_finished,,,hints_used=3,
2026-05-26 14:52:30,dialog,solving,,tablet_touch,finished,,
2026-05-26 14:52:31,event,solution_check,phase_start,,,,
2026-05-26 14:52:38,event,solution_check,touch_wait_start,,,,
2026-05-26 14:52:47,event,solution_check,tablet_heard,,,no,8972
2026-05-26 14:52:47,event,solution_check,classified,,,result=diff,
2026-05-26 14:52:47,event,solution_check,solution_compared,,,matched=False,
2026-05-26 14:52:47,event,celebrate,phase_start,,,,
2026-05-26 14:52:47,event,celebrate,outcome,,,unique,
2026-05-26 14:52:47,dialog,solution_check,,tablet_touch,no,,
2026-05-26 14:52:57,event,end,phase_start,,,,
2026-05-26 14:53:06,event,end,scenario_end,,,,
