sep=,
ts,kind,phase,event_type,role,text,detail,duration_ms
2026-05-26 13:21:25,event,,scenario_meta,,,,
2026-05-26 13:21:41,event,setup,phase_start,,,,
2026-05-26 13:21:41,event,setup,scenario_start,,,on_robot=True,
2026-05-26 13:21:44,event,await_person,phase_start,,,,
2026-05-26 13:22:14,event,await_person,person_detected,,,,
2026-05-26 13:22:15,event,greeting,phase_start,,,,
2026-05-26 13:22:32,event,greeting,touch_wait_start,,,,
2026-05-26 13:22:35,event,greeting,tablet_heard,,,play,2675
2026-05-26 13:22:35,event,greeting,classified,,,result=yes,
2026-05-26 13:22:35,event,rules,phase_start,,,,
2026-05-26 13:22:35,dialog,greeting,,tablet_touch,play,,
2026-05-26 13:23:00,event,rules,touch_wait_start,,,,
2026-05-26 13:23:02,event,rules,tablet_heard,,,ready,1975
2026-05-26 13:23:02,event,rules,classified,,,result=ready,
2026-05-26 13:23:02,event,level_select,phase_start,,,,
2026-05-26 13:23:02,dialog,rules,,tablet_touch,ready,,
2026-05-26 13:23:06,event,level_select,level_confirmed,,,name=Junior,
2026-05-26 13:23:07,event,setup_board,phase_start,,,,
2026-05-26 13:23:21,event,setup_board,touch_wait_start,,,,
2026-05-26 13:23:39,event,setup_board,tablet_heard,,,done,18059
2026-05-26 13:23:39,event,setup_board,classified,,,result=done,
2026-05-26 13:23:39,dialog,setup_board,,tablet_touch,done,,
2026-05-26 13:23:41,event,solving,phase_start,,,,
2026-05-26 13:24:01,event,solving,touch_wait_start,,,,
2026-05-26 13:25:16,event,solving,tablet_heard,,,hint,74769
2026-05-26 13:25:16,event,solving,hint_request,,,,
2026-05-26 13:25:16,event,solving,hint_given,,,index=0,
2026-05-26 13:25:16,dialog,solving,,tablet_touch,hint,,
2026-05-26 13:25:21,event,solving,touch_wait_start,,,,
2026-05-26 13:25:33,event,solving,tablet_heard,,,hint,12125
2026-05-26 13:25:33,event,solving,hint_request,,,,
2026-05-26 13:25:33,event,solving,hint_given,,,index=1,
2026-05-26 13:25:33,dialog,solving,,tablet_touch,hint,,
2026-05-26 13:25:41,event,solving,touch_wait_start,,,,
2026-05-26 13:25:56,event,solving,tablet_heard,,,finished,14899
2026-05-26 13:25:56,event,solving,user_finished,,,hints_used=2,
2026-05-26 13:25:56,dialog,solving,,tablet_touch,finished,,
2026-05-26 13:25:59,event,solution_check,phase_start,,,,
2026-05-26 13:26:06,event,solution_check,touch_wait_start,,,,
2026-05-26 13:26:08,event,solution_check,tablet_heard,,,yes,2419
2026-05-26 13:26:08,event,solution_check,classified,,,result=match,
2026-05-26 13:26:08,event,solution_check,solution_compared,,,matched=True,
2026-05-26 13:26:08,event,celebrate,phase_start,,,,
2026-05-26 13:26:08,event,celebrate,outcome,,,same,
2026-05-26 13:26:08,dialog,solution_check,,tablet_touch,yes,,
2026-05-26 13:26:15,event,end,phase_start,,,,
2026-05-26 13:26:23,event,end,scenario_end,,,,
