sep=,
ts,kind,phase,event_type,role,text,detail,duration_ms
2026-05-26 13:56:00,event,,scenario_meta,,,,
2026-05-26 13:56:17,event,setup,phase_start,,,,
2026-05-26 13:56:17,event,setup,scenario_start,,,on_robot=True,
2026-05-26 13:56:20,event,await_person,phase_start,,,,
2026-05-26 13:56:39,event,await_person,person_detected,,,,
2026-05-26 13:56:40,event,greeting,phase_start,,,,
2026-05-26 13:56:58,event,greeting,touch_wait_start,,,,
2026-05-26 13:56:59,event,greeting,tablet_heard,,,play,1656
2026-05-26 13:56:59,event,greeting,classified,,,result=yes,
2026-05-26 13:56:59,dialog,greeting,,tablet_touch,play,,
2026-05-26 13:57:00,event,rules,phase_start,,,,
2026-05-26 13:57:26,event,rules,touch_wait_start,,,,
2026-05-26 13:57:28,event,rules,tablet_heard,,,ready,2006
2026-05-26 13:57:28,event,rules,classified,,,result=ready,
2026-05-26 13:57:28,event,level_select,phase_start,,,,
2026-05-26 13:57:28,dialog,rules,,tablet_touch,ready,,
2026-05-26 13:57:34,event,level_select,level_confirmed,,,name=Junior,
2026-05-26 13:57:34,event,setup_board,phase_start,,,,
2026-05-26 13:57:48,event,setup_board,touch_wait_start,,,,
2026-05-26 13:58:04,event,setup_board,tablet_heard,,,done,16175
2026-05-26 13:58:04,event,setup_board,classified,,,result=done,
2026-05-26 13:58:04,dialog,setup_board,,tablet_touch,done,,
2026-05-26 13:58:07,event,solving,phase_start,,,,
2026-05-26 13:58:26,event,solving,touch_wait_start,,,,
2026-05-26 13:59:02,event,solving,tablet_heard,,,hint,36002
2026-05-26 13:59:02,event,solving,hint_request,,,,
2026-05-26 13:59:02,dialog,solving,,tablet_touch,hint,,
2026-05-26 13:59:03,event,solving,hint_given,,,index=0,
2026-05-26 13:59:10,event,solving,touch_wait_start,,,,
2026-05-26 13:59:29,event,solving,tablet_heard,,,hint,18447
2026-05-26 13:59:29,event,solving,hint_request,,,,
2026-05-26 13:59:29,event,solving,hint_given,,,index=1,
2026-05-26 13:59:29,dialog,solving,,tablet_touch,hint,,
2026-05-26 13:59:36,event,solving,touch_wait_start,,,,
2026-05-26 14:00:09,event,solving,tablet_heard,,,hint,33037
2026-05-26 14:00:09,event,solving,hint_request,,,,
2026-05-26 14:00:09,event,solving,hint_exhausted,,,index=2,
2026-05-26 14:00:09,dialog,solving,,tablet_touch,hint,,
2026-05-26 14:00:15,event,solving,touch_wait_start,,,,
2026-05-26 14:00:22,event,solving,tablet_heard,,,finished,6680
2026-05-26 14:00:22,event,solving,user_finished,,,hints_used=3,
2026-05-26 14:00:22,dialog,solving,,tablet_touch,finished,,
2026-05-26 14:00:24,event,solution_check,phase_start,,,,
2026-05-26 14:00:32,event,solution_check,touch_wait_start,,,,
2026-05-26 14:00:34,event,solution_check,tablet_heard,,,no,2511
2026-05-26 14:00:34,event,solution_check,classified,,,result=diff,
2026-05-26 14:00:34,event,solution_check,solution_compared,,,matched=False,
2026-05-26 14:00:34,event,celebrate,phase_start,,,,
2026-05-26 14:00:34,event,celebrate,outcome,,,unique,
2026-05-26 14:00:34,dialog,solution_check,,tablet_touch,no,,
2026-05-26 14:00:44,event,end,phase_start,,,,
2026-05-26 14:00:52,event,end,scenario_end,,,,
